,Quantidade,Preco_Unitario,Custo_Unitario,Receita,Desconto
Quantidade,1.0,-0.01389083677026756,-0.012405305686478513,0.5136900987191082,0.21114618152611722
Preco_Unitario,-0.01389083677026756,1.0,0.9495196994316017,0.7063177063794088,0.6845079482633276
Custo_Unitario,-0.012405305686478513,0.9495196994316017,1.0,0.6711677169253549,0.648448375203164
Receita,0.5136900987191082,0.7063177063794088,0.6711677169253549,1.0,0.6798897835178055
Desconto,0.21114618152611722,0.6845079482633276,0.648448375203164,0.6798897835178055,1.0
