,Quantidade,Preco_Unitario,Custo_Unitario,Receita,Desconto
Quantidade,1.0,0.006153627689330209,0.005645063807170816,0.28061742778297843,0.12522221347801576
Preco_Unitario,0.006153627689330209,1.0,0.9454579730869741,0.802906208952435,0.7789031145868078
Custo_Unitario,0.005645063807170816,0.9454579730869741,1.0,0.758484815673495,0.7334321293165313
Receita,0.28061742778297843,0.802906208952435,0.758484815673495,1.0,0.7745502691478222
Desconto,0.12522221347801576,0.7789031145868078,0.7334321293165313,0.7745502691478222,1.0
